id	name	calories
0	__background__	-
1	Chaudin	350
2	Bambalouni	350
3	Ghoriba	150
4	Mango sticky rice	400
5	Jianbing	420
6	Aguachile	120
7	Carrozza	350
8	Miyan kuka	100
9	Efo riro	350
10	Ayam masak merah	450
11	Chiffon pie	290
12	/g/11b8_rxx4d	-
13	Riso patate e cozze	220
14	Bazin	300
15	Black bottom pie	400
16	Palóc soup	180
17	Sailor sandwich	420
18	Tuwo shinkafa	330
19	Carne a la tampiqueña	600
20	Pastel azteca	250
21	Fujian red wine chicken	290
22	Boeber	180
23	Lady Baltimore cake	350
24	Yam khai dao	300
25	Texas Tommy	550
26	Har cheong gai	320
27	Kolokythopita	290
28	Karydopita	400
29	Rinflajš	250
30	Hainanese curry rice	700
31	Sonoran hot dog	550
32	/g/11cfty6q3	-
33	Afghani burger	450
34	Teochew porridge	180
35	Minestra di ceci	190
36	Pastrami on rye	350
37	Roast beef sandwich	450
38	Chahan	320
39	Ekuru	250
40	Sciusceddu	260
41	Breakfast burrito	500
42	/g/11dyjj24g	-
43	Sausage Stroganoff	380
44	Roti jala	220
45	Pirao	130
46	Casatiello	300
47	Khanom tan	200
48	Muamba chicken	420
49	Dobradinha	380
50	Bruckfleisch	360
51	Molote	230
52	Spongata	450
53	Funge	120
54	/g/1212ghsj	-
55	Köttbullar	290
56	Ka'ak	210
57	Papet vaudois	330
58	/g/12148tdg	-
59	Prosciutto di Norcia	250
60	Malloreddus	320
61	/g/1214g6v_	-
62	Pannenkoek	290
63	Dirty macaroni	310
64	/g/12175t2y	-
65	Garlic butter shrimp	330
66	Fricasse	360
67	Stracciatella	180
68	/g/121b74wr	-
69	Sartù	320
70	Matelote	200
71	Baodu	250
72	Mattentaart	300
73	Cartellate	450
74	Gyeran-ppang	200
75	Torta Pasqualina	320
76	Caltaboș	250
77	Khanom mo kaeng	350
78	Suimono	85
79	Dimlama	320
80	Tavë Kosi	400
81	/g/121p63r3	-
82	/g/121slhcd	-
83	Kalach	260
84	Jambon persillé	280
85	Pork Bones	310
86	Pozharsky cutlet	300
87	Roccocò	200
88	Feijão de óleo de palma	400
89	Calulu	300
90	Bey's Soup	200
91	/g/1226mnbh	-
92	Thịt kho tàu	360
93	Bon bon chicken	310
94	Zoque	230
95	Bint al-sahn	500
96	Tempoyak	150
97	Puran poli	210
98	/g/122m40vc	-
99	Chueo-tang	120
100	Naem	250
101	/g/122qyvy7	-
102	/g/122rd60t	-
103	Pizokel	210
